ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
104812.5,-0.081287,-0.126668,311.352846,92.800092,3.916513e-05,0.4850295,-115.460781,0.4950103,15285.119294,10234.705981,10234.005035,-2.739603
104815.0,-0.082255,-0.12895,311.390231,92.837476,2.091842e-05,0.5150056,-165.196575,0.4941564,15285.327259,10234.913729,10234.213011,-2.739603
104817.5,-0.083203,-0.131192,311.426963,92.874208,1.660123e-05,0.526054,141.434413,0.4933319,15285.531603,10235.117861,10234.417367,-2.739603
104820.0,-0.084132,-0.133397,311.463075,92.910319,1.838983e-05,0.5211633,98.043411,0.492535,15285.732502,10235.318551,10234.618276,-2.739602
104822.5,-0.085043,-0.135565,311.498596,92.945841,2.218202e-05,0.5122021,76.403928,0.4917639,15285.93013,10235.515974,10234.815916,-2.739602
104825.0,-0.085937,-0.137699,311.53356,92.980804,2.222392e-05,0.5121119,77.142295,0.4910168,15286.124662,10235.710303,10235.010458,-2.739602
104827.5,-0.086814,-0.139801,311.56799,93.015234,1.925704e-05,0.5189607,89.337001,0.4902923,15286.316236,10235.901678,10235.202043,-2.739602
104830.0,-0.087676,-0.141871,311.601908,93.049152,1.147884e-05,0.5436894,105.035028,0.4895892,15286.504971,10236.090217,10235.390788,-2.739602
104832.5,-0.088523,-0.143912,311.635336,93.082579,5.385495e-06,0.5798618,140.216756,0.4889062,15286.690984,10236.276037,10235.576811,-2.739601
104835.0,-0.089356,-0.145923,311.668294,93.115537,6.677681e-06,0.5695825,179.206592,0.4882422,15286.874393,10236.459254,10235.760229,-2.739601
104837.5,-0.090175,-0.147908,311.700803,93.148046,7.496262e-06,0.5640556,-179.827061,0.4875961,15287.055313,10236.639987,10235.94116,-2.739601
104840.0,-0.09098,-0.149865,311.732883,93.180126,4.90644e-06,0.5843145,138.053357,0.4869671,15287.233851,10236.818339,10236.119707,-2.739601
104842.5,-0.091773,-0.151798,311.764547,93.21179,1.763879e-05,0.5231559,80.336417,0.4863541,15287.410088,10236.994392,10236.295954,-2.739601
104845.0,-0.092554,-0.153706,311.795812,93.243054,6.257882e-05,0.4626295,65.119232,0.4857565,15287.584105,10237.168229,10236.46998,-2.7396
104847.5,-0.093323,-0.15559,311.826691,93.273933,0.0001200377,0.4314956,58.709018,0.4851736,15287.755984,10237.339929,10236.641869,-2.7396
104850.0,-0.094081,-0.157452,311.857198,93.30444,0.0001478104,0.4215479,50.518706,0.4846045,15287.925805,10237.509573,10236.811699,-2.7396
104852.5,-0.094828,-0.159292,311.887349,93.334591,0.0001534431,0.4197603,36.401165,0.4840487,15288.093649,10237.677242,10236.979552,-2.7396
104855.0,-0.095564,-0.161111,311.917156,93.364397,0.0001612158,0.4173984,21.671176,0.4835054,15288.259583,10237.843004,10237.145495,-2.7396
104857.5,-0.09629,-0.162909,311.946628,93.393869,0.0001552515,0.4192002,15.576841,0.4829743,15288.423665,10238.006916,10237.309586,-2.739599
104860.0,-0.097006,-0.164688,311.975777,93.423018,0.0001197924,0.4315933,19.779855,0.4824547,15288.585953,10238.169034,10237.471882,-2.739599
104862.5,-0.097713,-0.166447,312.004612,93.451853,7.408736e-05,0.4545603,28.655455,0.4819462,15288.746503,10238.329418,10237.632441,-2.739599
104865.0,-0.09841,-0.168188,312.033144,93.480385,4.328102e-05,0.4802525,35.7237,0.4814483,15288.905373,10238.488122,10237.79132,-2.739599
104867.5,-0.099098,-0.169911,312.061384,93.508624,3.395842e-05,0.4918469,37.886714,0.4809606,15289.06262,10238.645206,10237.948575,-2.739599
104870.0,-0.099778,-0.171617,312.089339,93.53658,3.896864e-05,0.4852691,38.480773,0.4804826,15289.218294,10238.800718,10238.104258,-2.739598
104872.5,-0.100449,-0.173306,312.117019,93.564259,4.409202e-05,0.4793651,38.63569,0.480014,15289.372438,10238.954702,10238.25841,-2.739598
104875.0,-0.101112,-0.174978,312.144429,93.591669,3.083479e-05,0.4964589,31.70285,0.4795545,15289.525092,10239.107197,10238.411073,-2.739598
104877.5,-0.101767,-0.176635,312.171579,93.618818,1.242377e-05,0.5399077,2.174818,0.4791036,15289.676299,10239.258247,10238.562288,-2.739598
104880.0,-0.102414,-0.178275,312.198474,93.645714,1.48977e-05,0.531228,-55.44994,0.478661,15289.826099,10239.407891,10238.712096,-2.739598
104882.5,-0.103054,-0.179901,312.225124,93.672363,3.969423e-05,0.4843871,-73.428448,0.4782266,15289.974534,10239.556172,10238.86054,-2.739598
104885.0,-0.103686,-0.181512,312.251534,93.698773,7.457975e-05,0.4542434,-68.256834,0.4777999,15290.121645,10239.70313,10239.007659,-2.739597
104887.5,-0.104311,-0.183109,312.277711,93.72495,0.0001236623,0.4300733,-58.92524,0.4773807,15290.267465,10239.848798,10239.153486,-2.739597
104890.0,-0.10493,-0.184692,312.303661,93.7509,0.0001665186,0.4158512,-51.911825,0.4769687,15290.412024,10239.993207,10239.298053,-2.739597
104892.5,-0.105541,-0.186261,312.329388,93.776627,0.0001444464,0.4226478,-47.652771,0.4765637,15290.555353,10240.136387,10239.44139,-2.739597
104895.0,-0.106146,-0.187818,312.3549,93.802138,6.070006e-05,0.4640858,-44.786109,0.4761655,15290.697483,10240.278369,10239.583528,-2.739597
104897.5,-0.106744,-0.189361,312.3802,93.827438,3.00546e-06,0.6077397,-16.930921,0.4757738,15290.838444,10240.419183,10239.724496,-2.739597
104900.0,-0.107337,-0.190891,312.405294,93.852532,1.973728e-05,0.5177824,111.863946,0.4753885,15290.978266,10240.55886,10239.864326,-2.739596
104902.5,-0.107923,-0.19241,312.430189,93.877427,5.585974e-05,0.4680577,118.368711,0.4750092,15291.11698,10240.69743,10240.003048,-2.739596
104905.0,-0.108503,-0.193916,312.454888,93.902125,6.911548e-05,0.4578801,127.085374,0.4746359,15291.25461,10240.834917,10240.140685,-2.739596
104907.5,-0.109077,-0.195411,312.479395,93.926633,7.491878e-05,0.4540264,142.559307,0.4742684,15291.39118,10240.971345,10240.277263,-2.739596
104910.0,-0.109645,-0.196894,312.503715,93.950952,8.210864e-05,0.4496463,156.44157,0.4739064,15291.526712,10241.106736,10240.412802,-2.739596
104912.5,-0.110208,-0.198366,312.527852,93.975089,7.173433e-05,0.4561024,166.079916,0.4735498,15291.661229,10241.241113,10240.547326,-2.739596
104915.0,-0.110765,-0.199827,312.551809,93.999046,3.57908e-05,0.4893344,178.755898,0.4731985,15291.794755,10241.3745,10240.680859,-2.739595
104917.5,-0.111317,-0.201278,312.575592,94.022829,8.810442e-06,0.5563336,-146.612067,0.4728523,15291.927311,10241.506918,10240.813423,-2.739595
104920.0,-0.111864,-0.202718,312.599204,94.04644,5.57901e-06,0.5781732,-91.511071,0.472511,15292.058921,10241.638392,10240.94504,-2.739595
104922.5,-0.112406,-0.204147,312.622648,94.069885,2.670294e-06,0.6133909,-96.346891,0.4721746,15292.189606,10241.768941,10241.075732,-2.739595
104925.0,-0.112943,-0.205567,312.645929,94.093165,7.790479e-06,0.5622142,-169.758991,0.4718428,15292.319383,10241.898582,10241.205516,-2.739595
104927.5,-0.113474,-0.206977,312.669049,94.116285,3.263531e-05,0.4937457,-174.791277,0.4715156,15292.44827,10242.027335,10241.334409,-2.739595
104930.0,-0.114001,-0.208377,312.692011,94.139247,4.337223e-05,0.4801512,-164.661721,0.4711928,15292.576283,10242.155215,10241.46243,-2.739595
104932.5,-0.114523,-0.209768,312.714818,94.162054,2.162838e-05,0.5134087,-136.640312,0.4708743,15292.703441,10242.282241,10241.589595,-2.739594
104935.0,-0.115041,-0.211149,312.737475,94.18471,2.066132e-05,0.5155951,-58.632124,0.4705601,15292.829761,10242.40843,10241.715922,-2.739594
104937.5,-0.115554,-0.212521,312.759983,94.207218,7.752251e-05,0.4523932,-21.242734,0.4702499,15292.955261,10242.533799,10241.841428,-2.739594
104940.0,-0.116063,-0.213885,312.782346,94.229581,0.0001380186,0.424823,-7.221516,0.4699437,15293.079957,10242.658366,10241.966131,-2.739594
104942.5,-0.116567,-0.21524,312.804566,94.251801,0.0001406087,0.4239344,1.534714,0.4696413,15293.203866,10242.782145,10242.090047,-2.739594
104945.0,-0.117067,-0.216586,312.826647,94.273882,8.847856e-05,0.4460748,9.409771,0.4693428,15293.327,10242.905151,10242.213187,-2.739594
104947.5,-0.117562,-0.217924,312.84859,94.295825,2.89819e-05,0.4994201,14.155776,0.4690479,15293.449373,10243.027397,10242.335567,-2.739594
