ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
72012.5,0.107632,-0.100652,64.909511,253.405745,0.9333316,0.02585213,166.909399,4.207006,83632.0913,78635.7187,78634.6944,-22.005583
72015,0.107635,-0.100652,64.909708,253.405942,0.9339591,0.02560028,167.480912,4.207007,83632.2806,78635.908,78634.8838,-22.005583
72017.5,0.107637,-0.100652,64.909906,253.406139,0.935741,0.02488607,168.002646,4.207007,83632.47,78636.0974,78635.0732,-22.005583
72020,0.10764,-0.100652,64.910103,253.406336,0.9389611,0.02359889,168.426375,4.207007,83632.6594,78636.2868,78635.2625,-22.005583
72022.5,0.107642,-0.100652,64.910308,253.406533,0.9438664,0.0216465,168.78017,4.207008,83632.8488,78636.4761,78635.4519,-22.005583
72025,0.107644,-0.100652,64.910498,253.40673,0.949328,0.01948458,169.080679,4.207008,83633.0381,78636.6655,78635.6413,-22.005583
72027.5,0.107647,-0.100651,64.910695,253.406927,0.9531071,0.01799593,169.305171,4.207009,83633.2275,78636.8549,78635.8306,-22.005583
72030,0.107649,-0.100651,64.910892,253.407124,0.9549849,0.01725846,169.466482,4.207009,83633.4169,78637.0442,78636.02,-22.005583
72032.5,0.107652,-0.100651,64.911098,253.407321,0.9566418,0.0166089,169.640751,4.207009,83633.6063,78637.2336,78636.2094,-22.005583
72035,0.107654,-0.100651,64.911287,253.407518,0.9596166,0.01544555,169.867597,4.20701,83633.7957,78637.423,78636.3987,-22.005583
72037.5,0.107657,-0.100651,64.911484,253.407715,0.9632902,0.01401389,170.124045,4.20701,83633.985,78637.6123,78636.5881,-22.005583
72040,0.107659,-0.100651,64.911682,253.407912,0.9657341,0.01306446,170.409434,4.207011,83634.1744,78637.8017,78636.7775,-22.005582
